1/1 裁决之杖

1/120020 井中月
1/37000 骨玉权杖
1/120000 无极棍
1/100000 龙纹剑
1/100000  黑铁头盔
1/1500 冰咆哮
1/10000 召唤神兽
1/1200 烈火剑法

1/100  放大镜
1/100  竹笛
1/150  道士头盔
1/150  凝霜
1/200  珊瑚戒指
1/200  降妖除魔戒指
1/150  骷髅头盔

1/50   死神手套
1/150   重盔甲(男)
1/150   重盔甲(女)
1/150   灵魂战衣(女)
1/150   灵魂战衣(男)
1/150   魔法长袍(男)
1/150   魔法长袍(女)
1/50   修罗

1/50   金戒指
1/50   蓝翡翠项链
1/50   金手镯
1/50   道德戒指
1/50   魅力戒指
1/50   道士手镯
1/50   黑檀手镯
1/50   降魔

1/50   黑色水晶戒指
1/50   蛇眼戒指
1/50   珍珠戒指
1/50   破魂
1/50   斩马刀
1/50   偃月
1/50   生铁戒指
1/50   降魔
1/50   骷髅戒指
1/50   小手镯
